City Number,City Name,Latitude,Longitude,Date,Temperature (°C),Humidity (%),Precipitation (%),Wind Speed (km/h),Clothing Recommendation,Activity Recommendation,Season
1,Skardu,35.2971,75.6333,2023-01-19,-18.0,53,23,8.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-20,-12.5,48,4,7.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-21,-22.7,34,4,9.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-22,-13.4,28,12,5.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-23,-10.7,90,27,14.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-24,-16.4,88,24,4.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-25,-16.8,75,5,6.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-26,-9.1,53,16,11.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-27,-18.1,58,26,9.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-28,-16.9,40,17,14.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-29,-9.1,61,15,0.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-30,-9.3,59,7,0.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-31,-9.4,30,23,7.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-01,-18.6,36,4,9.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-02,-13.4,87,27,9.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-03,-8.6,45,22,4.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-04,-10.0,76,28,7.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-05,-21.3,63,0,8.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-06,-20.2,29,22,9.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-07,-16.1,62,2,7.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-08,-18.2,89,4,10.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-09,-11.6,51,25,7.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-10,-19.2,75,11,6.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-11,-14.8,32,1,6.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-12,-15.3,51,6,2.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-13,-16.8,55,14,3.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-14,-12.0,90,3,0.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-15,-8.8,31,29,11.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-16,-19.1,81,6,13.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-17,-13.8,20,12,4.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-18,-13.3,74,22,14.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-19,-10.6,82,4,2.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-20,-21.3,89,1,11.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-21,-19.8,84,29,12.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-22,-16.5,30,27,2.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-23,-13.9,50,12,1.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-24,-13.5,25,19,1.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-25,-13.9,60,29,3.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-26,-15.3,53,12,2.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-27,-14.7,29,0,6.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-02-28,-7.9,29,17,3.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-03-01,-5.6,28,28,3.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-02,-8.4,89,22,4.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-03,0.8,87,0,10.0,"Winter coat, sweater, warm pants, boots, light gloves","Winter photography, cafe hopping, light winter sports, cultural events",Spring
1,Skardu,35.2971,75.6333,2023-03-04,-2.7,33,30,13.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-05,-5.9,90,4,4.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-06,-3.5,46,21,9.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-07,-8.3,26,2,9.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-08,-5.3,62,24,2.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-09,-3.1,76,17,10.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-10,-7.6,39,17,0.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-11,-6.9,75,4,0.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-12,-4.6,25,28,5.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-13,-3.0,65,24,8.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-14,0.7,39,59,13.9,"Winter coat, sweater, warm pants, boots, light gloves","Winter photography, cafe hopping, light winter sports, cultural events",Spring
1,Skardu,35.2971,75.6333,2023-03-15,0.6,42,56,6.2,"Winter coat, sweater, warm pants, boots, light gloves","Winter photography, cafe hopping, light winter sports, cultural events",Spring
1,Skardu,35.2971,75.6333,2023-03-16,-6.5,72,25,10.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-17,-5.0,40,25,10.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-18,-9.8,80,7,3.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-19,-2.6,49,7,0.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-20,-10.0,28,30,11.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-21,-7.3,88,10,14.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-22,-6.9,42,18,14.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-23,-10.6,75,11,10.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-24,-7.1,85,3,5.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-25,-6.6,75,0,7.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-26,-1.7,45,11,6.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-27,1.2,60,42,12.7,"Winter coat, sweater, warm pants, boots, light gloves","Winter photography, cafe hopping, light winter sports, cultural events",Spring
1,Skardu,35.2971,75.6333,2023-03-28,-4.9,59,21,6.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-29,-8.1,36,6,6.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-30,-0.4,42,19,8.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-03-31,-4.8,58,9,3.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-01,-2.4,61,14,6.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-02,-4.0,41,21,1.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-03,-4.9,62,2,12.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-04,-2.3,48,25,3.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-05,-12.1,80,19,12.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-06,-10.6,44,22,10.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-07,-7.5,20,28,11.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-08,-5.5,74,7,2.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-09,-1.2,26,17,3.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-10,-2.6,79,21,8.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-11,-6.4,76,19,12.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-12,-2.4,90,14,13.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-13,-3.6,53,24,3.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-14,-2.9,86,15,9.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-15,-10.6,56,7,4.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-16,-7.4,37,4,3.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-17,-2.7,28,13,6.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-18,-5.9,46,26,6.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-19,-1.3,22,27,13.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-20,-5.2,65,9,11.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-21,0.4,73,34,11.2,"Winter coat, sweater, warm pants, boots, light gloves","Winter photography, cafe hopping, light winter sports, cultural events",Spring
1,Skardu,35.2971,75.6333,2023-04-22,-4.8,48,15,3.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-23,-9.3,63,21,10.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-24,-8.8,79,29,1.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-25,-7.5,70,18,8.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-26,-9.7,37,27,6.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-27,-11.1,47,14,4.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-28,-4.0,73,8,12.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-29,-4.7,26,30,5.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-04-30,-2.7,25,24,0.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-01,-6.3,39,7,1.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-02,-3.8,47,14,10.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-03,-5.2,34,24,12.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-04,-3.6,23,29,4.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-05,-1.3,70,30,10.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-06,-9.0,51,3,10.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-07,-6.7,35,25,14.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-08,-3.9,74,21,5.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-09,-6.8,73,26,7.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-10,-7.3,78,22,2.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-11,-9.0,54,19,12.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-12,-5.6,75,26,11.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-13,-6.1,31,8,13.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-14,-8.6,68,10,0.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-15,-4.3,47,11,12.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-16,-5.2,55,17,0.2,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-17,-3.9,72,15,8.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-18,-8.6,82,14,11.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-19,-11.6,51,9,10.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-20,-6.8,64,13,14.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
1,Skardu,35.2971,75.6333,2023-05-21,-6.2,78,8,4.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Spring
